FamilyID,Change,Species,Trend,Pvalue,Significance
OG0006817,1,PHYP,Expansion,0.088,n
OG0006817,-1,BYAR,Contraction,0.088,n
OG0006817,2,TFUL,Expansion,0.088,n
OG0006817,1,SMER,Expansion,0.088,n
OG0006817,-1,CBAT,Contraction,0.088,n
OG0006817,-1,CMAG,Contraction,0.088,n
OG0006818,-1,BYAR,Contraction,0.105,n
OG0006818,1,PHYP,Expansion,0.105,n
OG0006818,-1,IPUN,Contraction,0.105,n
OG0006818,-1,CFUS,Contraction,0.105,n
OG0006818,2,TFUL,Expansion,0.105,n
OG0006819,-1,CMAC,Contraction,0.949,n
OG0006822,1,SMER,Expansion,0.999,n
OG0006823,1,TFUL,Expansion,0.983,n
OG0006824,1,BYAR,Expansion,0.866,n
OG0006824,-1,CMAC,Contraction,0.866,n
OG0006827,-1,CFUS,Contraction,0.61,n
OG0006827,-1,PGIG,Contraction,0.61,n
OG0006828,1,TFUL,Expansion,0.549,n
OG0006828,1,PGIG,Expansion,0.549,n
OG0006828,-1,CBAT,Contraction,0.549,n
OG0006829,-1,CBAT,Contraction,0.399,n
OG0006829,1,CMAC,Expansion,0.399,n
OG0006829,1,CFUS,Expansion,0.399,n
OG0006831,1,CFUS,Expansion,0.928,n
OG0006832,-1,CMAG,Contraction,0.858,n
OG0006832,-1,BYAR,Contraction,0.858,n
OG0006833,1,SMER,Expansion,0.984,n
OG0006833,1,PHYP,Expansion,0.984,n
OG0006835,-1,CFUS,Contraction,0.61,n
OG0006835,-1,PGIG,Contraction,0.61,n
OG0006836,1,IPUN,Expansion,0.772,n
OG0006836,-1,CFUS,Contraction,0.772,n
OG0006837,-1,CFUS,Contraction,0.772,n
OG0006837,1,IPUN,Expansion,0.772,n
OG0006838,-1,CFUS,Contraction,0.975,n
OG0006838,2,SMER,Expansion,0.975,n
OG0006839,-1,BYAR,Contraction,0.887,n
OG0006839,1,PHYP,Expansion,0.887,n
OG0006840,-1,CMAC,Contraction,0.829,n
OG0006840,1,CGAR,Expansion,0.829,n
OG0006841,1,CBAT,Expansion,0.928,n
OG0006844,1,PDJA,Expansion,0.97,n
OG0006845,1,TFUL,Expansion,0.83,n
OG0006845,-1,CFUS,Contraction,0.83,n
OG0006846,1,CFUS,Expansion,0.448,n
OG0006846,-1,CMAC,Contraction,0.448,n
OG0006846,1,CMAG,Expansion,0.448,n
OG0006849,-1,CFUS,Contraction,0.737,n
OG0006849,1,PHYP,Expansion,0.737,n
OG0006850,1,IPUN,Expansion,0.965,n
OG0006852,1,CFUS,Expansion,0.928,n
OG0006853,-1,CBAT,Contraction,0.402,n
OG0006853,1,CFUS,Expansion,0.402,n
OG0006853,1,PHYP,Expansion,0.402,n
OG0006854,-1,CMAC,Contraction,0.399,n
OG0006854,2,SMER,Expansion,0.399,n
OG0006854,1,TFUL,Expansion,0.399,n
OG0006856,-1,CFUS,Contraction,0.249,n
OG0006856,1,TFUL,Expansion,0.249,n
OG0006856,1,PHYP,Expansion,0.249,n
OG0006856,-1,CMAG,Contraction,0.249,n
OG0006857,-1,CGAR,Contraction,0.003,y
OG0006857,-1,PDJA,Contraction,0.003,y
OG0006857,-1,CMAG,Contraction,0.003,y
OG0006857,-1,BYAR,Contraction,0.003,y
OG0006857,2,CMAC,Expansion,0.003,y
OG0006857,1,CFUS,Expansion,0.003,y
OG0006859,1,SMER,Expansion,0.522,n
OG0006859,-1,CBAT,Contraction,0.522,n
OG0006859,-1,BYAR,Contraction,0.522,n
OG0006859,2,TFUL,Expansion,0.522,n
OG0006861,1,AMEL,Expansion,0.849,n
OG0006861,-1,CGAR,Contraction,0.849,n
OG0006863,-1,CMAG,Contraction,0.552,n
OG0006863,1,SMER,Expansion,0.552,n
OG0006863,-1,HWYC,Contraction,0.552,n
OG0006863,1,CBAT,Expansion,0.552,n
OG0006864,-1,BYAR,Contraction,0.989,n
OG0006865,-1,CMAC,Contraction,0.949,n
OG0006867,-1,CFUS,Contraction,0.64,n
OG0006867,2,TFUL,Expansion,0.64,n
OG0006868,-1,CFUS,Contraction,0.932,n
OG0006869,1,IPUN,Expansion,0.141,n
OG0006869,1,CGAR,Expansion,0.141,n
OG0006869,1,CMAC,Expansion,0.141,n
OG0006869,-1,CFUS,Contraction,0.141,n
OG0006869,-1,CMAG,Contraction,0.141,n
OG0006870,1,TFUL,Expansion,0.983,n
OG0006871,1,PDJA,Expansion,0.794,n
OG0006871,-1,CMAG,Contraction,0.794,n
OG0006872,-1,CMAG,Contraction,0.105,n
OG0006872,1,SMER,Expansion,0.105,n
OG0006872,-1,PGIG,Contraction,0.105,n
OG0006872,-1,CBAT,Contraction,0.105,n
OG0006872,1,PHYP,Expansion,0.105,n
OG0006872,-1,BYAR,Contraction,0.105,n
OG0006873,-1,CMAG,Contraction,0.477,n
OG0006873,-1,CFUS,Contraction,0.477,n
OG0006873,1,PHYP,Expansion,0.477,n
OG0006873,2,SMER,Expansion,0.477,n
OG0006874,1,AMEL,Expansion,0.557,n
OG0006874,-1,CBAT,Contraction,0.557,n
